YYYYQ,GDP,GDPC1,GDPPOT,PCESV,GPDI,PIRIC,PRS85006023,CPIAUCSL,PCEND,UNRATE,CUMFNS,FEDFUNDS,CE16OV,CNP16OV
20032,11312.766,13741.107,14079.7166,4983.56,1972.386,1.3091,100.642,183.0667,1670.0667,6.1333,73.5049,1.2467,137655.6667,220774.0
20033,11566.669,13970.157,14166.9684,5054.68,2044.304,1.2912,100.548,184.4333,1724.5,6.1333,74.0054,1.0167,137544.0,221512.6667
20034,11772.234,14131.379,14255.2957,5124.541,2131.311,1.2823,100.712,185.1333,1741.8667,5.8333,74.8627,0.9967,138273.0,222275.6667
20041,11923.447,14212.34,14345.4715,5205.543,2154.052,1.2769,100.907,186.7,1779.0,5.7,75.4283,1.0033,138489.0,222356.0
20042,12112.815,14323.017,14436.9677,5278.129,2262.607,1.2741,100.404,188.1667,1803.0,5.6,76.1141,1.01,138902.0,222973.3333
20043,12305.307,14457.832,14530.6572,5371.996,2318.272,1.2678,100.51,189.3667,1826.3,5.4333,76.8515,1.4333,139538.6667,223680.0
20044,12527.214,14605.595,14625.5401,5464.088,2390.082,1.2626,100.516,191.4,1877.4667,5.4333,77.734,1.95,140029.3333,224418.0
20051,12767.286,14767.846,14718.9072,5549.788,2486.068,1.2596,100.284,192.3667,1892.0,5.3,78.6482,2.47,140428.0,225038.0
20052,12922.656,14839.707,14809.9664,5643.732,2476.474,1.2558,100.453,193.6667,1919.4667,5.1,78.6991,2.9433,141525.6667,225674.0
20053,13142.642,14956.291,14899.7647,5730.245,2531.076,1.2438,100.385,196.6,1986.0333,4.9667,78.1064,3.46,142287.0,226422.3333
20054,13324.204,15041.232,14987.7347,5820.809,2645.263,1.239,100.561,198.4333,2019.7333,4.9667,78.8068,3.98,142599.6667,227196.0
20061,13599.16,15244.088,15073.6648,5903.311,2709.74,1.2356,100.672,199.4667,2042.7,4.7333,79.1551,4.4567,143449.3333,227763.6667
20062,13753.424,15281.525,15158.0237,6001.556,2709.252,1.2243,100.662,201.2667,2076.8333,4.6333,78.9365,4.9067,144067.6667,228432.6667
20063,13870.188,15304.517,15239.1033,6080.335,2709.42,1.2144,100.883,203.1667,2112.9,4.6333,78.7101,5.2467,144547.3333,229166.3333
20064,14039.56,15433.643,15316.9142,6165.119,2675.406,1.2177,100.816,202.3333,2092.8333,4.4333,78.482,5.2467,145606.0,229896.0
20071,14215.651,15478.956,15394.5913,6264.013,2664.295,1.2045,100.578,204.317,2129.1,4.5,78.7188,5.2567,146135.0,230839.3333
20072,14402.082,15577.779,15472.7721,6326.913,2699.217,1.1889,100.714,206.631,2166.1,4.5,79.1876,5.25,145850.6667,231482.0
20073,14564.117,15671.605,15551.6854,6418.373,2685.969,1.1752,100.556,207.939,2188.1667,4.6667,78.697,5.0733,145943.6667,232210.0
20074,14715.058,15767.146,15630.1644,6508.952,2642.56,1.1572,100.263,210.4897,2232.6,4.8,78.5673,4.4967,146271.3333,232936.6667
20081,14706.538,15702.906,15707.8964,6598.077,2563.701,1.1446,100.231,212.7697,2252.8667,5.0,77.977,3.1767,146206.6667,232806.6667
20082,14865.701,15792.773,15782.9451,6686.336,2540.595,1.1276,100.055,215.5377,2305.8,5.3333,76.461,2.0867,145925.6667,233410.0
20083,14898.999,15709.562,15854.4792,6731.171,2498.242,1.1151,99.733,218.861,2332.0667,6.0,73.9482,1.94,145270.3333,234110.3333
20084,14608.208,15366.607,15921.6471,6731.865,2307.915,1.1368,99.202,213.8487,2167.0667,6.8667,69.7976,0.5067,144090.3333,234825.0
20091,14430.901,15187.475,15983.2985,6694.942,2014.878,1.1346,98.628,212.3777,2115.5667,8.2667,65.2926,0.1833,141499.6667,234912.6667
20092,14381.236,15161.772,16040.7026,6671.028,1863.65,1.1159,98.087,213.507,2139.8,9.3,63.7623,0.18,140304.3333,235459.3333
20093,14448.882,15216.647,16094.7417,6710.929,1841.416,1.0937,97.982,215.344,2193.3667,9.6333,65.3514,0.1567,139403.6667,236093.0
20094,14651.248,15379.155,16147.0634,6767.885,1998.71,1.0825,98.327,217.03,2222.9,9.9333,66.7467,0.12,138368.0,236739.0
20101,14764.611,15456.059,16199.7102,6835.669,2038.161,1.07,98.612,217.374,2245.1,9.8333,68.1434,0.1333,138590.0,236996.3333
20102,14980.193,15605.628,16253.7162,6916.911,2148.795,1.0618,99.246,217.2973,2247.3333,9.6333,70.2245,0.1933,139226.3333,237506.0
20103,15141.605,15726.282,16310.4477,6985.635,2236.495,1.0545,99.702,217.9343,2262.7,9.4667,71.3347,0.1867,139337.6667,238103.6667
20104,15309.471,15807.995,16369.3052,7031.511,2238.44,1.0464,99.697,219.699,2320.3667,9.5,71.942,0.1867,139154.6667,238711.3333
20111,15351.444,15769.911,16430.4648,7089.16,2205.962,1.0374,99.364,222.0437,2381.1,9.0333,72.7261,0.1567,139427.6667,238851.6667
20112,15557.535,15876.839,16494.1242,7158.561,2297.352,1.0291,99.808,224.5683,2431.5667,9.0667,72.8293,0.0933,139531.3333,239316.0
20113,15647.681,15870.684,16560.1095,7227.254,2322.84,1.0225,99.776,226.0327,2437.0,9.0,73.5921,0.0833,139883.0,239871.0
20114,15842.267,16048.702,16627.8917,7247.97,2504.095,1.0162,100.008,227.0473,2448.8,8.6333,74.1353,0.0733,140698.6667,240431.3333
20121,16068.824,16179.968,16697.3907,7330.585,2567.75,1.009,100.136,228.326,2490.6,8.2667,74.8661,0.1033,141826.0,242436.0
20122,16207.13,16253.726,16768.9712,7388.679,2636.863,1.0034,99.984,228.808,2482.8333,8.2,74.717,0.1533,142165.3333,242968.3333
20123,16319.54,16282.151,16842.1603,7427.587,2644.119,0.9982,99.903,229.841,2490.1333,8.0333,74.228,0.1433,142542.3333,243564.0
20124,16420.386,16300.035,16916.6539,7491.645,2638.282,0.9896,99.976,231.3693,2510.5,7.8,74.2101,0.16,143364.6667,244169.0
20131,16629.05,16441.485,16992.5715,7533.987,2738.236,0.9826,99.972,232.2993,2542.8333,7.7333,74.5227,0.1433,143323.3333,244828.6667
20132,16699.551,16464.402,17069.5661,7591.64,2775.276,0.9794,99.857,232.045,2513.8667,7.5333,74.4512,0.1167,143838.6667,245363.3333
20133,16911.068,16594.743,17147.1508,7648.836,2879.995,0.9734,99.814,233.3,2541.4,7.2333,74.456,0.0833,144336.0,245961.0
20134,17133.114,16712.76,17225.8024,7759.758,2910.546,0.9689,99.818,234.1627,2564.1333,6.9333,74.7773,0.0867,144264.6667,246564.3333
20141,17144.281,16654.247,17305.4195,7828.587,2899.216,0.9635,99.868,235.621,2586.0,6.6667,74.6624,0.0733,145310.6667,247086.0
20142,17462.703,16868.109,17385.7105,7921.739,3030.425,0.9556,100.047,236.8723,2623.5333,6.2,75.6349,0.0933,145913.0,247625.0
20143,17743.227,17064.616,17467.5492,8036.39,3107.62,0.9523,100.093,237.4783,2642.2333,6.0667,76.1195,0.09,146569.0,248232.6667
20144,17852.54,17141.235,17550.0148,8152.359,3139.452,0.9498,100.377,236.8883,2631.7333,5.7,76.3817,0.1,147482.0,248842.6667
20151,17991.348,17280.647,17632.7606,8215.995,3245.05,0.9506,100.192,235.355,2584.1,5.5333,75.989,0.11,148106.0,249900.6667
20152,18193.707,17380.875,17715.6013,8297.35,3245.825,0.9424,99.922,236.96,2617.7333,5.4333,76.0501,0.1233,148714.6667,250461.3333
20153,18306.96,17437.08,17797.9113,8387.315,3251.67,0.9353,99.95,237.855,2641.9333,5.1,76.2634,0.1367,148945.6667,251099.0
20154,18332.079,17462.579,17879.075,8461.274,3206.098,0.9306,99.928,237.837,2617.8,5.0333,75.6876,0.16,149612.3333,251741.3333
20161,18425.306,17565.465,17959.5247,8560.649,3174.386,0.9237,99.821,237.6893,2605.7333,4.9,75.5328,0.36,150936.6667,252580.6667
20162,18611.617,17618.581,18039.0586,8652.684,3178.537,0.9158,99.648,239.5903,2648.7667,4.9333,75.158,0.3733,151143.0,253180.0
20163,18775.459,17724.489,18117.6492,8750.7,3185.73,0.9071,99.656,240.6073,2653.6333,4.9,75.0849,0.3967,151698.0,253855.0
20164,18968.041,17812.56,18195.8769,8841.634,3281.493,0.9008,99.394,242.1347,2678.4667,4.7667,75.128,0.45,151968.0,254534.3333
20171,19153.912,17896.623,18274.5328,8951.04,3283.481,0.8961,99.37,243.8387,2724.7333,4.5667,75.3508,0.7,152565.6667,254247.3333
20172,19322.92,17996.802,18352.9509,9028.583,3357.362,0.8928,99.789,244.12,2738.8333,4.3667,76.2176,0.95,153214.0,254770.6667
20173,19558.693,18126.226,18433.5035,9108.266,3413.3,0.8872,99.541,245.287,2762.1667,4.3333,76.1702,1.1533,153786.0,255356.6667
20174,19882.965,18296.685,18516.0761,9234.339,3471.425,0.8788,99.649,247.2383,2821.9667,4.1667,77.0926,1.2033,153772.6667,255941.3333
20181,20143.716,18436.262,18600.5425,9369.007,3550.839,0.8733,99.659,249.2543,2849.0667,4.0333,77.3251,1.4467,155018.3333,256937.0
20182,20492.492,18590.004,18687.3221,9510.327,3603.22,0.8692,99.795,250.681,2883.2,3.9333,77.837,1.7367,155596.6667,257456.0
20183,20659.102,18679.599,18776.0991,9629.389,3679.569,0.8655,99.775,251.7703,2894.9667,3.7667,78.1066,1.9233,155865.6667,258066.3333
20184,20813.325,18721.281,18865.3729,9730.536,3717.518,0.8608,99.581,252.69,2911.0,3.8333,77.4994,2.22,156555.6667,258703.3333
20191,21001.591,18833.195,18954.7646,9772.746,3801.932,0.8611,99.34,253.2927,2909.5,3.8667,76.523,2.4033,156825.0,258389.3333
20192,21289.268,18982.528,19044.8815,9896.347,3842.963,0.855,99.188,255.283,2970.1667,3.6,75.7752,2.3967,156911.6667,258863.6667
20193,21505.012,19112.653,19135.4193,10016.772,3858.192,0.8499,99.112,256.225,2981.2667,3.6333,75.6762,2.19,157839.0,259431.6667
20194,21694.458,19202.31,19225.5991,10113.165,3801.943,0.8418,99.076,257.7853,3001.6,3.6,75.3778,1.6433,158544.0,260015.3333
